client_id,channel_id,contact_day,contact_month,duration_sec,contacts_count,subscribed
1,3,5,5,261,1,false
2,3,5,5,151,1,false
3,3,5,5,76,1,false
4,3,5,5,92,1,false
5,3,5,5,198,1,false
6,3,5,5,139,1,false
7,3,5,5,217,1,false
8,3,5,5,380,1,false
9,3,5,5,50,1,false
10,3,5,5,55,1,false
11,3,5,5,222,1,false
12,3,5,5,137,1,false
13,3,5,5,517,1,false
14,3,5,5,71,1,false
15,3,5,5,174,1,false
16,3,5,5,353,1,false
17,3,5,5,98,1,false
18,3,5,5,38,1,false
19,3,5,5,219,1,false
20,3,5,5,54,1,false
21,3,5,5,262,1,false
22,3,5,5,164,1,false
23,3,5,5,160,1,false
24,3,5,5,342,1,false
25,3,5,5,181,1,false
26,3,5,5,172,1,false
27,3,5,5,296,1,false
28,3,5,5,127,1,false
29,3,5,5,255,2,false
30,3,5,5,348,1,false
31,3,5,5,225,1,false
32,3,5,5,230,1,false
33,3,5,5,208,1,false
34,3,5,5,226,1,false
35,3,5,5,336,1,false
36,3,5,5,242,1,false
37,3,5,5,365,1,false
38,3,5,5,1666,1,false
39,3,5,5,577,1,false
40,3,5,5,137,1,false
41,3,5,5,160,1,false
42,3,5,5,180,2,false
43,3,5,5,22,1,false
44,3,5,5,1492,1,false
45,3,5,5,616,1,false
46,3,5,5,242,1,false
47,3,5,5,355,1,false
48,3,5,5,225,2,false
49,3,5,5,160,1,false
50,3,5,5,363,1,false
51,3,5,5,266,1,false
52,3,5,5,253,1,false
53,3,5,5,179,1,false
54,3,5,5,787,1,false
55,3,5,5,145,1,false
56,3,5,5,174,1,false
57,3,5,5,104,1,false
58,3,5,5,13,1,false
59,3,5,5,185,1,false
60,3,5,5,1778,1,false
61,3,5,5,138,1,false
62,3,5,5,812,1,false
63,3,5,5,164,1,false
64,3,5,5,391,1,false
65,3,5,5,357,1,false
66,3,5,5,91,1,false
67,3,5,5,528,1,false
68,3,5,5,273,1,false
69,3,5,5,158,2,false
70,3,5,5,177,1,false
71,3,5,5,258,1,false
72,3,5,5,172,1,false
73,3,5,5,154,1,false
74,3,5,5,291,1,false
75,3,5,5,181,1,false
76,3,5,5,176,1,false
77,3,5,5,211,1,false
78,3,5,5,349,1,false
79,3,5,5,272,1,false
80,3,5,5,208,1,false
81,3,5,5,193,1,false
82,3,5,5,212,1,false
83,3,5,5,20,1,false
84,3,5,5,1042,1,true
85,3,5,5,246,1,false
86,3,5,5,529,2,false
87,3,5,5,1467,1,true
88,3,5,5,1389,1,true
89,3,5,5,188,2,false
90,3,5,5,180,2,false
91,3,5,5,48,1,false
92,3,5,5,213,2,false
93,3,5,5,583,1,false
94,3,5,5,221,1,false
95,3,5,5,173,1,false
96,3,5,5,426,1,false
97,3,5,5,287,1,false
98,3,5,5,101,1,false
99,3,5,5,203,1,false
100,3,5,5,197,1,false
101,3,5,5,257,1,false
102,3,5,5,124,1,false
103,3,5,5,229,1,false
104,3,5,5,55,3,false
105,3,5,5,400,1,false
106,3,5,5,197,1,false
107,3,5,5,190,1,false
108,3,5,5,21,1,false
109,3,5,5,514,1,false
110,3,5,5,849,2,false
111,3,5,5,194,1,false
112,3,5,5,144,1,false
113,3,5,5,212,2,false
114,3,5,5,286,1,false
115,3,5,5,107,1,false
116,3,5,5,247,2,false
117,3,5,5,518,1,false
118,3,5,5,364,1,false
119,3,5,5,178,1,false
120,3,5,5,98,1,false
121,3,5,5,439,1,false
122,3,5,5,79,1,false
123,3,5,5,120,3,false
124,3,5,5,127,2,false
125,3,5,5,175,1,false
126,3,5,5,262,2,false
127,3,5,5,61,1,false
128,3,5,5,78,1,false
129,3,5,5,143,1,false
130,3,5,5,579,1,true
131,3,5,5,677,1,false
132,3,5,5,345,1,false
133,3,5,5,185,1,false
134,3,5,5,100,2,false
135,3,5,5,125,2,false
136,3,5,5,193,1,false
137,3,5,5,136,1,false
138,3,5,5,73,1,false
139,3,5,5,528,1,false
140,3,5,5,541,1,false
141,3,5,5,163,1,false
142,3,5,5,301,1,false
143,3,5,5,46,1,false
144,3,5,5,204,1,false
145,3,5,5,98,1,false
146,3,5,5,71,1,false
147,3,5,5,157,2,false
148,3,5,5,243,1,false
149,3,5,5,186,2,false
150,3,5,5,579,2,false
151,3,5,5,163,2,false
152,3,5,5,610,2,false
153,3,5,5,2033,1,false
154,3,5,5,85,1,false
155,3,5,5,114,2,false
156,3,5,5,114,2,false
157,3,5,5,57,1,false
158,3,5,5,238,1,false
159,3,5,5,93,3,false
160,3,5,5,128,2,false
161,3,5,5,107,1,false
162,3,5,5,181,1,false
163,3,5,5,303,2,false
164,3,5,5,558,5,false
165,3,5,5,270,1,false
166,3,5,5,228,1,false
167,3,5,5,99,1,false
168,3,5,5,240,1,false
169,3,5,5,673,2,true
170,3,5,5,233,3,false
171,3,5,5,1056,1,false
172,3,5,5,250,1,false
173,3,5,5,252,1,false
174,3,5,5,138,1,false
175,3,5,5,130,1,false
176,3,5,5,412,1,false
177,3,5,5,179,2,false
178,3,5,5,19,2,false
179,3,5,5,458,2,false
180,3,5,5,717,1,false
181,3,5,5,313,1,false
182,3,5,5,683,2,false
183,3,5,5,1077,1,false
184,3,5,5,416,1,false
185,3,5,5,146,2,false
186,3,5,5,167,1,false
187,3,5,5,315,1,false
188,3,5,5,140,1,false
189,3,5,5,346,1,false
190,3,5,5,562,1,false
191,3,5,5,172,1,false
192,3,5,5,217,1,false
193,3,5,5,142,2,false
194,3,5,5,67,1,false
195,3,5,5,291,1,false
196,3,5,5,309,2,false
197,3,5,5,248,1,false
198,3,5,5,98,1,false
199,3,5,5,256,1,false
200,3,5,5,82,2,false
201,3,5,5,577,1,false
202,3,5,5,286,1,false
203,3,5,5,477,1,false
204,3,5,5,611,2,false
205,3,5,5,471,1,false
206,3,5,5,381,2,false
207,3,5,5,42,1,false
208,3,5,5,251,1,false
209,3,5,5,408,1,false
210,3,5,5,215,1,false
211,3,5,5,287,1,false
212,3,5,5,216,2,false
213,3,5,5,366,2,false
214,3,5,5,210,1,false
215,3,5,5,288,1,false
216,3,5,5,168,1,false
217,3,5,5,338,2,false
218,3,5,5,410,3,false
219,3,5,5,177,1,false
220,3,5,5,127,2,false
221,3,5,5,357,1,false
222,3,5,5,175,1,false
223,3,5,5,300,1,false
224,3,5,5,136,1,false
225,3,5,5,1419,1,false
226,3,5,5,125,2,false
227,3,5,5,213,3,false
228,3,5,5,27,1,false
229,3,5,5,238,2,false
230,3,5,5,124,1,false
231,3,5,5,18,1,false
232,3,5,5,730,2,false
233,3,5,5,746,2,false
234,3,5,5,121,1,false
235,3,5,5,247,1,false
236,3,5,5,40,1,false
237,3,5,5,181,2,false
238,3,5,5,79,1,false
239,3,5,5,206,1,false
240,3,5,5,389,1,false
241,3,5,5,127,1,false
